position,team,team_id,matches,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,Galatasaray,3061,34,24,5,5,77,30,+47,77
2,Fenerbahçe,3052,34,21,11,2,77,37,+40,74
3,Trabzonspor,3051,34,20,9,5,61,39,+22,69
4,Beşiktaş JK,3050,34,17,9,8,59,40,+19,60
5,Başakşehir FK,3086,34,16,9,9,58,35,+23,57
6,Göztepe,3054,34,14,13,7,42,32,+10,55
7,Samsunspor,3053,34,13,12,9,46,45,+1,51
8,Çaykur Rizespor,3064,34,10,11,13,46,52,-6,41
9,Konyaspor,3085,34,10,10,14,43,50,-7,40
10,Kocaelispor,3065,34,9,10,15,26,38,-12,37
11,Alanyaspor,6362,34,7,16,11,41,41,0,37
12,Gaziantep FK,5138,34,9,10,15,43,58,-15,37
13,Kasımpaşa,6063,34,8,11,15,33,49,-16,35
14,Gençlerbirliği,7802,34,9,7,18,36,47,-11,34
15,Eyüpspor,7040,34,8,9,17,33,48,-15,33
16,Antalyaspor,3056,34,8,8,18,33,55,-22,32
17,Kayserispor,3072,34,6,12,16,27,62,-35,30
18,Fatih Karagümrük,4954,34,8,6,20,31,54,-23,30
